Date,Time,Magnitude,Depth,population_impacted,dangerosite_adjusted
06/11/1965,07:11:04,5.5,0.048992248062015506,0.0,faible
06/11/1965,07:27:44,5.6,0.05426356589147287,0.0,faible
06/11/1965,08:41:01,5.7,0.05054263565891473,0.0,faible
06/12/1965,05:28:40,5.6,0.05426356589147287,0.0,faible
06/12/1965,05:40:58,5.7,0.05891472868217054,0.0,faible
06/12/1965,06:03:33,5.7,0.05426356589147287,0.0,faible
06/12/1965,18:45:44,5.5,0.05426356589147287,0.0,faible
06/12/1965,18:50:12,5.9,0.1584496124031008,0.00022219913372947293,moderee
06/13/1965,07:06:15,6.1,0.05906976744186047,3.5831432388906265e-05,elevee
06/13/1965,20:01:51,5.9,0.03875968992248062,0.0019217289247000218,moderee
06/14/1965,07:30:42,5.6,0.015503875968992248,0.0,faible
06/15/1965,09:20:34,5.9,0.14728682170542637,9.062375572687725e-05,elevee
06/15/1965,23:10:29,6.2,0.03875968992248062,0.0,faible
06/17/1965,20:14:51,5.9,0.015503875968992248,2.7569709455429286e-06,elevee
06/20/1965,01:57:26,5.6,0.06976744186046512,0.0,faible
06/20/1965,18:04:34,5.5,0.015503875968992248,0.0,faible
06/21/1965,00:21:17,5.9,0.03875968992248062,0.0001494638779454069,moderee
06/22/1965,23:48:07,6.3,0.06201550387596899,0.004588333431804324,moderee
06/23/1965,11:09:17,6.5,0.031007751937984496,2.0429861622100162e-07,faible
06/24/1965,07:45:13,5.8,0.046511627906976744,0.007153913333560781,moderee
06/27/1965,09:45:45,5.7,0.015503875968992248,0.0,faible
06/27/1965,11:08:59,6.5,0.023255813953488372,0.0,faible
06/27/1965,11:36:14,5.9,0.06201550387596899,0.017935400967004307,moderee
06/28/1965,03:33:35,6.0,0.03875968992248062,0.0,faible
06/30/1965,02:53:16,5.8,0.046511627906976744,0.0,faible
06/30/1965,08:33:33,5.7,0.06914728682170543,0.0,faible
07/01/1965,23:12:42,6.1,0.015503875968992248,0.0,faible
07/02/1965,20:58:40,7.8,0.06976744186046512,0.0,moderee
07/03/1965,11:26:13,5.9,0.05426356589147287,0.003401471578060634,moderee
07/06/1965,03:04:21,5.8,0.05426356589147287,0.0,faible
07/06/1965,03:18:45,6.3,0.031007751937984496,0.00886472903251738,moderee
07/06/1965,04:08:49,5.6,0.06976744186046512,0.0,faible
07/06/1965,18:36:46,6.3,0.7596899224806202,0.0,faible
07/07/1965,23:00:00,5.7,0.05426356589147287,0.0,faible
07/12/1965,13:57:15,5.7,0.17426356589147288,2.5176800057823435e-05,elevee
07/15/1965,18:33:30,6.0,0.8837209302325582,0.007515076527426905,moderee
07/17/1965,07:20:34,5.9,0.03875968992248062,3.939075257116489e-05,elevee
07/20/1965,13:18:28,5.7,0.03813953488372093,0.00991239566471437,moderee
07/21/1965,17:52:33,5.5,0.044651162790697675,0.0,faible
07/25/1965,03:40:43,5.5,0.16279069767441862,0.0002761777971806952,moderee
07/25/1965,13:33:04,5.6,0.023255813953488372,0.0,faible
07/25/1965,21:46:45,5.7,0.03116279069767442,0.0,faible
07/28/1965,22:29:09,5.6,0.21705426356589147,5.982202802451918e-05,elevee
07/29/1965,08:29:24,6.8,0.03317829457364341,0.0,faible
07/29/1965,12:20:21,5.7,0.023255813953488372,0.0,faible
07/29/1965,15:08:37,5.6,0.031007751937984496,0.0,faible
07/30/1965,07:20:10,5.6,0.24806201550387597,0.0030683305196512597,moderee
08/01/1965,23:44:29,5.9,0.06976744186046512,0.0,faible
08/02/1965,13:19:57,7.3,0.015503875968992248,0.0,moderee
08/03/1965,02:01:53,5.7,0.04077519379844961,0.0,faible
08/05/1965,00:07:52,6.5,0.09302325581395349,4.404720580662419e-05,elevee
08/11/1965,03:40:58,7.2,0.03875968992248062,1.094305390692424e-05,elevee
08/11/1965,07:18:47,5.8,0.046511627906976744,1.101374546963047e-05,elevee
08/11/1965,19:52:32,6.9,0.046511627906976744,1.101374546963047e-05,elevee
08/11/1965,20:13:58,6.0,0.046511627906976744,1.1084437032336697e-05,elevee
