Date,Time,Latitude,Longitude,Depth,Magnitude,population_impacted
08/13/1965,12:40:10,-15.871,166.96,25.0,7.4,15510
08/13/1965,12:40:32,-16.198,167.607,35.0,7.2,231006
08/13/1965,17:56:30,-16.801,167.602,35.0,6.2,216952
08/13/1965,21:57:38,-6.38,148.543,30.0,6.0,44419
08/14/1965,11:07:47,-15.819,166.794,20.0,6.0,15530
08/14/1965,13:18:06,-11.385,166.332,35.0,5.7,2978
08/16/1965,12:36:22,-0.53,-19.951,15.0,6.2,0
08/17/1965,10:35:10,4.872,95.836,65.0,6.1,261118
08/17/1965,16:17:45,-15.185,166.67,30.0,5.8,13732
08/18/1965,14:51:34,-15.945,166.999,25.0,6.2,15430
08/20/1965,05:54:51,-5.714,128.493,330.0,6.7,0
08/20/1965,09:42:50,-18.954,-68.82,124.0,6.7,30473
08/20/1965,21:21:52,-22.887,-176.194,75.0,6.1,0
08/21/1965,15:04:20,-5.921,103.993,45.0,5.6,38622
08/23/1965,14:08:58,40.459,26.206,15.0,6.0,808871
08/23/1965,19:46:04,16.081,-95.867,25.0,7.4,370152
08/24/1965,01:01:00,15.837,-96.235,25.0,5.8,133773
08/27/1965,18:22:03,44.453,149.06,30.0,5.7,0
08/30/1965,03:32:08,-16.931,167.454,30.0,5.8,216150
08/30/1965,18:09:44,-6.428,104.667,55.0,5.7,0
09/01/1965,04:47:33,-34.596,179.922,100.0,5.8,0
09/02/1965,04:26:39,51.867,175.451,31.0,5.5,0
09/04/1965,10:19:51,46.515,153.387,15.0,5.9,0
09/04/1965,14:32:51,58.09,-152.525,27.8,7.0,6538
09/08/1965,03:26:22,57.513,-152.263,25.0,5.7,6754
09/09/1965,10:02:26,6.47,-84.408,15.0,6.2,0
09/11/1965,06:53:01,-5.349,152.955,44.6,6.2,0
09/12/1965,08:40:10,-6.209,151.651,15.0,6.1,38966
09/12/1965,22:02:35,-6.416,70.726,25.0,6.3,0
09/13/1965,13:07:51,55.338,165.731,18.9,5.9,615
09/13/1965,16:15:45,-36.448,-97.6,15.0,6.1,0
09/14/1965,08:27:18,8.382,126.895,35.0,5.8,1308291
09/16/1965,13:50:12,7.156,126.522,160.0,6.0,4564341
09/17/1965,11:13:57,-1.443,-77.476,185.9,6.5,38224
09/17/1965,14:22:38,36.269,141.533,35.0,5.8,1228179
09/17/1965,15:18:36,36.245,141.53,35.0,5.9,1291924
09/17/1965,16:21:20,36.27,141.361,35.0,6.8,2043665
09/18/1965,22:03:12,8.188,126.874,25.0,6.0,805873
09/21/1965,01:38:31,28.952,128.227,197.6,6.7,0
09/22/1965,04:24:50,20.682,99.326,35.0,5.9,108334
09/22/1965,20:01:50,-5.391,151.631,55.0,5.9,62309
09/22/1965,22:08:01,36.395,141.46,35.0,6.3,1635763
09/24/1965,23:53:43,13.092,145.167,45.0,5.6,231370
09/25/1965,14:53:34,39.626,143.357,27.5,5.7,0
09/26/1965,21:33:52,-54.757,-38.244,10.0,5.8,4
