Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,population_impacted,geometry
03/13/1965,07:33:24,53.292,-162.331,Earthquake,20.0,,,5.7,MW,,,,,,,0,POINT (-162.331 53.292)
03/14/1965,15:53:07,36.405,70.724,Earthquake,207.8,,,7.4,MW,,,,,,,856847,POINT (70.724 36.405)
03/15/1965,02:02:09,22.635,121.117,Earthquake,15.0,,,5.8,MW,,,,,,,7219255,POINT (121.117 22.635)
03/16/1965,16:46:17,40.697,143.032,Earthquake,32.1,,,6.4,MW,,,,,,,0,POINT (143.032 40.697)
03/17/1965,14:27:15,52.785,171.821,Earthquake,25.0,,,6.0,MW,,,,,,,0,POINT (171.821 52.785)
03/18/1965,06:22:12,-20.036,-175.89,Earthquake,224.9,,,6.3,MW,,,,,,,104000,POINT (-175.89 -20.036)
03/18/1965,12:40:45,-55.857,-26.758,Earthquake,35.0,,,5.7,MW,,,,,,,0,POINT (-26.758 -55.857)
03/19/1965,16:20:53,-1.887,119.836,Earthquake,40.0,,,6.0,MW,,,,,,,61702,POINT (119.836 -1.887)
03/21/1965,11:08:19,-1.547,126.623,Earthquake,28.9,,,6.3,MW,,,,,,,0,POINT (126.623 -1.547)
03/22/1965,02:44:49,-15.262,-173.254,Earthquake,30.5,,,6.5,MW,,,,,,,759,POINT (-173.254 -15.262)
03/22/1965,22:56:27,-31.974,-71.573,Earthquake,48.8,,,6.2,MW,,,,,,,16913543,POINT (-71.573 -31.974)
03/23/1965,23:54:05,-15.382,-173.194,Earthquake,25.0,,,6.2,MW,,,,,,,759,POINT (-173.194 -15.382)
03/24/1965,22:42:12,8.418,126.553,Earthquake,55.0,,,5.7,MW,,,,,,,3082728,POINT (126.553 8.418)
03/28/1965,13:23:01,55.26,161.904,Earthquake,40.0,,,5.8,MW,,,,,,,0,POINT (161.904 55.26)
03/28/1965,16:33:16,-32.522,-71.233,Earthquake,70.0,,,7.4,MW,,,,,,,18583245,POINT (-71.233 -32.522)
03/29/1965,10:47:38,40.687,142.915,Earthquake,30.0,,,6.4,MW,,,,,,,0,POINT (142.915 40.687)
03/30/1965,00:21:00,-20.502,-173.701,Earthquake,20.0,,,5.9,MW,,,,,,,137,POINT (-173.701 -20.502)
03/30/1965,02:27:06,50.282,177.959,Earthquake,20.0,,,7.6,MW,,,,,,,0,POINT (177.959 50.282)
03/31/1965,09:47:31,38.365,22.405,Earthquake,75.0,,,6.8,MW,,,,,,,12388263,POINT (22.405 38.365)
04/01/1965,07:08:37,9.986,125.896,Earthquake,60.0,,,5.9,MW,,,,,,,2461099,POINT (125.896 9.986)
04/03/1965,11:20:43,15.8,-98.067,Earthquake,10.0,,,5.8,MW,,,,,,,89502,POINT (-98.067 15.8)
04/04/1965,13:30:39,51.865,175.172,Earthquake,30.7,,,5.7,MW,,,,,,,0,POINT (175.172 51.865)
04/04/1965,15:36:13,-27.088,-176.046,Earthquake,25.0,,,5.6,MW,,,,,,,0,POINT (-176.046 -27.088)
04/05/1965,03:12:53,37.505,22.067,Earthquake,20.0,,,6.1,MW,,,,,,,904778,POINT (22.067 37.505)
04/05/1965,13:52:12,44.812,150.871,Earthquake,39.2,,,5.7,MW,,,,,,,0,POINT (150.871 44.812)
04/06/1965,05:31:59,36.083,139.968,Earthquake,50.0,,,5.7,MW,,,,,,,192115717,POINT (139.968 36.083)
04/06/1965,09:42:29,-0.463,120.039,Earthquake,25.0,,,6.2,MW,,,,,,,335297,POINT (120.039 -0.463)
04/08/1965,13:43:54,52.192,173.437,Earthquake,25.0,,,6.1,MW,,,,,,,0,POINT (173.437 52.192)
04/09/1965,10:45:26,-32.707,-178.207,Earthquake,20.0,,,6.0,MW,,,,,,,0,POINT (-178.207 -32.707)
04/09/1965,23:57:06,35.047,24.318,Earthquake,65.0,,,6.2,MW,,,,,,,345269,POINT (24.318 35.047)
04/10/1965,14:46:51,-20.455,-173.621,Earthquake,17.5,,,5.7,MW,,,,,,,0,POINT (-173.621 -20.455)
04/10/1965,22:32:48,-17.857,-178.646,Earthquake,543.7,,,6.5,MW,,,,,,,0,POINT (-178.646 -17.857)
04/10/1965,22:53:05,-13.409,170.376,Earthquake,635.0,,,6.3,MW,,,,,,,0,POINT (170.376 -13.409)
04/11/1965,00:11:11,-42.692,174.205,Earthquake,20.0,,,5.9,MW,,,,,,,3194,POINT (174.205 -42.692)
04/11/1965,18:51:37,-26.168,178.628,Earthquake,570.0,,,5.7,MW,,,,,,,0,POINT (178.628 -26.168)
04/12/1965,20:41:17,30.317,138.702,Earthquake,421.7,,,5.6,MW,,,,,,,0,POINT (138.702 30.317)
04/15/1965,05:09:50,25.08,122.897,Earthquake,165.0,,,5.6,MW,,,,,,,14549,POINT (122.897 25.08)
04/16/1965,23:22:21,64.572,-160.375,Earthquake,15.0,,,6.0,MW,,,,,,,1797,POINT (-160.375 64.572)
04/18/1965,06:33:58,41.46,-127.416,Earthquake,10.0,,,5.9,MW,,,,,,,0,POINT (-127.416 41.46)
04/18/1965,09:39:19,-59.687,-26.454,Earthquake,25.0,,,6.1,MW,,,,,,,0,POINT (-26.454 -59.687)
04/18/1965,12:41:56,-59.586,-26.372,Earthquake,25.0,,,6.1,MW,,,,,,,0,POINT (-26.372 -59.586)
04/19/1965,23:42:00,34.848,138.332,Earthquake,35.0,,,6.0,MW,,,,,,,6500273,POINT (138.332 34.848)
04/24/1965,21:55:29,11.451,140.231,Earthquake,70.0,,,5.8,MW,,,,,,,0,POINT (140.231 11.451)
04/25/1965,01:00:15,24.409,142.776,Earthquake,30.0,,,6.0,MW,,,,,,,0,POINT (142.776 24.409)
04/26/1965,09:47:29,-1.733,126.568,Earthquake,25.0,,,5.7,MW,,,,,,,0,POINT (126.568 -1.733)
04/26/1965,20:29:07,54.157,-162.59,Earthquake,36.8,,,5.6,MW,,,,,,,57,POINT (-162.59 54.157)
04/26/1965,22:15:45,21.045,120.798,Earthquake,37.1,,,6.1,MW,,,,,,,0,POINT (120.798 21.045)
04/27/1965,10:54:24,-6.822,129.504,Earthquake,30.0,,,6.0,MW,,,,,,,0,POINT (129.504 -6.822)
04/27/1965,14:09:10,35.626,23.425,Earthquake,60.0,,,6.1,MW,,,,,,,116103,POINT (23.425 35.626)
