Date	Time	Latitude	Longitude	Depth	Magnitude	population_impacted	Magnitude_log	Depth_log	population_impacted_log	Depth_inverse	Depth_inverse_log	cluster_kmeans	cluster_dbscan	dangerosite_kmeans	dangerosite_dbscan
05/03/1965	16:09:09	-24.281	-67.927	110.0	5.7	2063	1.9021075263969205	4.709530201312334	7.6324011266014535	0.009009009009009009	0.008968669982760406	2	1	elevee	elevee
05/04/1965	08:34:43	41.801	79.414	10.0	6.2	3135573	1.9740810260220096	2.3978952727983707	14.958322809388363	0.09090909090909091	0.08701137698962977	1	6	moderee	
05/12/1965	08:05:56	-3.523	137.924	50.0	5.7	22278	1.9021075263969205	3.9318256327243257	10.011399809730523	0.0196078431372549	0.019418085857101582	2	1	elevee	elevee
05/12/1965	10:33:47	-6.174	130.358	153.1	6.1	0	1.9600947840472698	5.03760174232607	0.0	0.006489292667099286	0.006468327856423072	0	0	faible	faible
05/15/1965	23:58:36	-4.131	134.946	25.0	5.8	0	1.916922612182061	3.258096538021482	0.0	0.038461538461538464	0.03774032798284703	0	0	faible	faible
05/16/1965	11:35:47	5.268	125.467	35.0	5.9	2101955	1.9315214116032138	3.58351893845611	14.558378897754656	0.027777777777777776	0.02739897418811444	1	1	moderee	elevee
05/17/1965	17:19:33	22.336	121.248	68.4	6.7	2154829	2.0412203288596382	4.239886867512759	14.583222392097392	0.01440922190201729	0.014306395651237898	1	1	moderee	elevee
05/19/1965	03:00:58	-8.938	159.083	35.0	5.6	1122	1.8870696490323797	3.58351893845611	7.023758954738443	0.027777777777777776	0.02739897418811444	2	1	elevee	elevee
05/19/1965	06:03:56	-6.575	105.311	35.0	5.6	0	1.8870696490323797	3.58351893845611	0.0	0.027777777777777776	0.02739897418811444	0	0	faible	faible
05/19/1965	13:59:55	-4.819	152.436	50.0	5.5	106555	1.8718021769015913	3.9318256327243257	11.576425947532128	0.0196078431372549	0.019418085857101582	2	1	elevee	elevee
05/20/1965	00:40:27	-14.921	167.34	120.0	7.7	14382	2.1633230256605382	4.795790545596741	9.573802232603889	0.008264462809917356	0.00823049913651547	2	1	elevee	elevee
05/22/1965	03:05:46	1.309	126.239	35.0	5.7	0	1.9021075263969205	3.58351893845611	0.0	0.027777777777777776	0.02739897418811444	0	0	faible	faible
05/22/1965	10:31:39	-21.126	-178.537	553.8	6.1	0	1.9600947840472698	6.318607688440676	0.0	0.0018024513338139871	0.0018008288677268198	0	0	faible	faible
05/23/1965	23:46:15	52.149	175.119	28.5	6.0	0	1.9459101490553132	3.3843902633457743	0.0	0.03389830508474576	0.0333364202675918	0	0	faible	faible
05/24/1965	23:21:12	13.174	124.604	25.0	5.9	4428970	1.9315214116032138	3.258096538021482	15.303677835130456	0.038461538461538464	0.03774032798284703	1	1	moderee	elevee
05/25/1965	13:07:51	51.227	178.882	30.1	5.8	0	1.916922612182061	3.4372078191851885	0.0	0.03215434083601286	0.03164821095078173	0	0	faible	faible
05/26/1965	19:44:13	-55.957	-27.875	125.0	6.0	0	1.9459101490553132	4.836281906951478	0.0	0.007936507936507936	0.007905179507113275	0	0	faible	faible
05/31/1965	11:38:42	-7.566	128.578	150.0	5.9	0	1.9315214116032138	5.017279836814924	0.0	0.006622516556291391	0.00660068403135206	0	0	faible	faible
06/02/1965	05:13:00	-23.54	-179.917	540.0	5.7	0	1.9021075263969205	6.293419278846481	0.0	0.0018484288354898336	0.001846722593164688	0	0	faible	faible
06/02/1965	23:40:23	15.674	-46.712	12.5	5.9	0	1.9315214116032138	2.6026896854443837	0.0	0.07407407407407407	0.07145896398214495	0	0	faible	faible
